timestamp,value,gesture
1780322282.359626,486,relax
1780322282.379630,506,relax
1780322282.400312,504,relax
1780322282.420635,486,relax
1780322282.441637,502,relax
1780322282.461311,514,relax
1780322282.481345,484,relax
1780322282.502646,492,relax
1780322282.523069,514,relax
1780322282.539651,486,relax
1780322282.560074,531,relax
1780322282.580657,498,relax
1780322282.601080,500,relax
1780322282.621662,492,relax
1780322282.642085,483,relax
1780322282.662668,497,relax
1780322282.683091,490,relax
1780322282.703672,495,relax
1780322282.724096,504,relax
1780322282.740099,492,relax
1780322282.760682,495,relax
1780322282.780316,512,relax
1780322282.801486,503,relax
1780322282.822110,525,relax
1780322282.842693,500,relax
1780322282.862544,503,relax
1780322282.883579,508,relax
1780322282.903763,502,relax
1780322282.920765,499,relax
1780322282.941126,506,relax
1780322282.961486,482,relax
1780322282.982132,509,relax
1780322283.002715,504,relax
1780322283.023138,513,relax
1780322283.043720,499,relax
1780322283.063724,493,relax
1780322283.084726,500,relax
1780322283.100728,471,relax
1780322283.121151,488,relax
1780322283.141734,503,relax
1780322283.162157,498,relax
1780322283.182739,499,relax
1780322283.203163,492,relax
1780322283.223745,522,relax
1780322283.244168,518,relax
1780322283.260750,509,relax
1780322283.280666,516,relax
1780322283.301756,500,relax
1780322283.321759,521,relax
1780322283.342762,474,relax
1780322283.362764,504,relax
1780322283.383767,475,relax
1780322283.403770,475,relax
1780322283.424193,503,relax
1780322283.440775,502,relax
1780322283.460959,501,relax
1780322283.481321,530,relax
1780322283.502204,499,relax
1780322283.522786,505,relax
1780322283.543210,505,relax
1780322283.563792,506,relax
1780322283.584215,512,relax
1780322283.604796,513,relax
1780322283.625218,493,relax
1780322283.641803,502,relax
1780322283.661483,501,relax
1780322283.681500,512,relax
1780322283.702811,512,relax
1780322283.723234,513,relax
1780322283.743816,520,relax
1780322283.764240,532,relax
1780322283.784811,502,relax
1780322283.805245,517,relax
1780322283.821827,496,relax
1780322283.842250,492,relax
1780322283.862833,496,relax
1780322283.883256,523,relax
1780322283.903839,500,relax
1780322283.924262,512,relax
1780322283.944844,496,relax
1780322283.965267,502,relax
1780322283.981317,506,relax
1780322284.001852,525,relax
1780322284.022275,498,relax
1780322284.042857,507,relax
1780322284.063281,509,relax
1780322284.083863,508,relax
1780322284.104287,502,relax
1780322284.124869,513,relax
1780322284.145292,516,relax
1780322284.161482,502,relax
1780322284.181500,534,relax
1780322284.202880,534,relax
1780322284.223303,525,relax
1780322284.243885,513,relax
1780322284.263898,525,relax
1780322284.284806,522,relax
1780322284.304894,515,relax
1780322284.321316,530,relax
1780322284.341899,495,relax
1780322284.362322,519,relax
1780322284.382904,508,relax
1780322284.403311,504,relax
1780322284.423910,526,relax
1780322284.444333,527,relax
1780322284.464916,527,relax
1780322284.485339,519,relax
1780322284.505924,506,relax
1780322284.526310,506,relax
1780322284.542926,507,relax
1780322284.562929,514,relax
1780322284.583566,505,relax
1780322284.603935,511,relax
1780322284.624938,524,relax
1780322284.644315,511,relax
1780322284.665363,524,relax
1780322284.685946,521,relax
1780322284.706340,519,relax
1780322284.722951,519,relax
1780322284.743375,508,relax
1780322284.763746,504,relax
1780322284.784380,522,relax
1780322284.804634,520,relax
1780322284.825231,503,relax
1780322284.845313,520,relax
1780322284.866311,518,relax
1780322284.882973,513,relax
1780322284.902717,527,relax
1780322284.923399,506,relax
1780322284.943982,532,relax
1780322284.964209,528,relax
1780322284.984715,531,relax
1780322285.005411,535,relax
1780322285.026050,519,relax
1780322285.046020,532,relax
1780322285.062922,509,relax
1780322285.083421,518,relax
1780322285.103715,515,relax
1780322285.124506,519,relax
1780322285.145040,526,relax
1780322285.165290,525,relax
1780322285.185687,518,relax
1780322285.206241,527,relax
1780322285.222168,516,relax
1780322285.242759,522,relax
1780322285.263275,525,relax
1780322285.283772,505,relax
1780322285.304101,498,relax
1780322285.325047,513,relax
1780322285.345487,526,relax
1780322285.366040,526,relax
1780322285.386440,506,relax
1780322285.406407,533,relax
1780322285.427312,528,relax
1780322285.444050,535,relax
1780322285.464473,529,relax
1780322285.484795,535,relax
1780322285.505059,510,relax
1780322285.525316,498,relax
1780322285.546064,526,relax
1780322285.566311,521,relax
1780322285.586432,537,relax
1780322285.603492,524,relax
