rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg,gesture
494.38800551793327,494.14,8.0,503.0,15.657598794195742,15.657598794195742,12.723200000000002,8.0,503.0,15.657598794195744,494.14,496.0,449.0,524.0,75.0,482.25,505.0,636.1600000000001,relax
494.85183641166776,494.62,11.0,544.0,15.145811302138954,15.145811302138954,12.3856,11.0,544.0,15.145811302138952,494.62,496.0,449.0,521.0,72.0,486.0,505.0,619.28,relax
495.8858538010537,495.62,14.0,694.0,16.235627490183433,16.235627490183433,13.4104,14.0,694.0,16.235627490183433,495.62,498.5,449.0,531.0,82.0,484.5,506.0,670.52,relax
497.12565815898097,496.92,16.0,629.0,14.29802783603389,14.29802783603389,11.726399999999998,16.0,629.0,14.29802783603389,496.92,498.5,469.0,531.0,62.0,486.0,505.75,586.3199999999999,relax
497.6679615968864,497.48,16.0,619.0,13.67660776654796,13.67660776654796,10.961599999999999,16.0,619.0,13.67660776654796,497.48,499.0,469.0,531.0,62.0,486.75,505.0,548.0799999999999,relax
498.6952576473933,498.52,18.0,631.0,13.220045385701214,13.220045385701214,10.396800000000002,18.0,631.0,13.220045385701216,498.52,499.5,469.0,531.0,62.0,490.5,506.0,519.8400000000001,relax
499.447114317422,499.3,22.0,638.0,12.12146855789347,12.12146855789347,9.328,22.0,638.0,12.121468557893468,499.3,500.0,471.0,531.0,60.0,492.0,506.0,466.4,relax
499.7175528766837,499.59183673469386,24.0,638.0,11.208448648952341,11.208448648952341,8.498125780924616,24.0,638.0,11.208448648952341,499.59183673469386,500.0,471.0,531.0,60.0,492.0,505.0,416.40816326530614,relax
500.5550918730125,500.4,24.0,700.0,12.459534501738016,12.459534501738016,9.591999999999999,24.0,700.0,12.459534501738016,500.4,500.0,471.0,531.0,60.0,492.0,507.5,479.5999999999999,relax
499.80808316792957,499.64,23.0,691.0,12.961111063485259,12.961111063485259,9.708800000000002,23.0,691.0,12.96111106348526,499.64,500.0,471.0,531.0,60.0,492.0,505.5,485.44000000000005,relax
500.8365002673028,500.68,21.0,626.0,12.519488807455359,12.519488807455359,9.1328,21.0,626.0,12.519488807455359,500.68,501.5,471.0,530.0,59.0,495.0,506.0,456.64,relax
502.3521474025965,502.2,24.0,616.0,12.362847568420472,12.362847568420472,8.832,24.0,616.0,12.362847568420474,502.2,503.0,471.0,530.0,59.0,499.0,509.0,441.6,relax
503.18916919981496,503.02,20.0,615.0,13.046823368161307,13.046823368161307,9.501599999999998,20.0,615.0,13.046823368161307,503.02,503.0,471.0,532.0,61.0,499.0,512.0,475.0799999999999,relax
503.7705430054441,503.6,19.0,631.0,13.107249902248755,13.107249902248755,9.808000000000002,19.0,631.0,13.107249902248755,503.6,502.5,471.0,532.0,61.0,498.25,512.0,490.4000000000001,relax
504.4755891021884,504.3,19.0,623.0,13.30901949806972,13.30901949806972,9.992,19.0,623.0,13.309019498069722,504.3,503.5,471.0,532.0,61.0,498.25,512.0,499.6,relax
507.47340817031983,507.3,22.0,614.0,13.26536844569347,13.26536844569347,10.124,22.0,614.0,13.26536844569347,507.3,506.0,474.0,534.0,60.0,501.0,515.25,506.20000000000005,relax
508.7681986917028,508.6,20.0,573.0,13.081284340614266,13.081284340614266,10.368000000000002,20.0,573.0,13.081284340614264,508.6,506.5,475.0,534.0,59.0,501.25,515.75,518.4000000000001,relax
511.75285050500696,511.62,20.0,547.0,11.66,11.66,9.7952,20.0,547.0,11.659999999999998,511.62,512.0,492.0,534.0,42.0,502.0,521.5,489.76,relax
511.74448702453066,511.62,21.0,540.0,11.286965934209245,11.286965934209245,9.4352,21.0,540.0,11.286965934209245,511.62,512.0,492.0,534.0,42.0,502.0,519.75,471.76,relax
513.2797677680272,513.16,23.0,548.0,11.087578635572331,11.087578635572331,9.412799999999997,23.0,548.0,11.087578635572331,513.16,513.0,492.0,534.0,42.0,505.25,522.75,470.6399999999999,relax
