rms,mav,zc,wl,std,c_rms,c_mav,c_zc,c_wl,c_std,mean,median,min,max,ptp,q25,q75,iemg
513.7418223193436,513.58,26.0,748.0,12.89354877448408,12.89354877448408,10.11920000000001,26.0,748.0,12.893548774484085,513.58,511.0,493.0,548.0,55.0,506.0,521.75,505.9600000000005
499.1823514508501,499.06,22.0,638.0,11.051533830197508,11.051533830197508,9.1048,22.0,638.0,11.051533830197508,499.06,497.5,480.0,524.0,44.0,492.0,506.0,455.24
540.6981043059056,540.36,21.0,1039.0,19.118326286576448,19.118326286576448,16.0656,21.0,1039.0,19.118326286576448,540.36,543.0,507.0,581.0,74.0,525.25,553.5,803.28
553.4783516220718,553.3877551020408,17.0,392.0,10.01390120829104,10.01390120829104,8.209912536443145,17.0,392.0,10.01390120829104,553.3877551020408,555.0,524.0,572.0,48.0,546.0,562.0,402.2857142857141
542.6394935866722,542.3,17.0,934.0,19.19192538543228,19.19192538543228,15.532000000000007,17.0,934.0,19.19192538543228,542.3,545.5,497.0,578.0,81.0,527.0,553.75,776.6000000000004
497.6679615968864,497.48,16.0,619.0,13.67660776654796,13.67660776654796,10.9616,16.0,619.0,13.67660776654796,497.48,499.0,469.0,531.0,62.0,486.75,505.0,548.0799999999999
489.24574602136295,488.84,26.0,1153.0,19.921204782843837,19.921204782843837,16.612800000000004,26.0,1153.0,19.92120478284383,488.84,490.5,456.0,540.0,84.0,475.0,504.5,830.6400000000001
501.46714747827696,500.86,17.0,1087.0,24.6690170051423,24.6690170051423,19.1288,17.0,1087.0,24.6690170051423,500.86,497.5,464.0,579.0,115.0,481.25,514.75,956.44
535.6490455512826,535.1,17.0,980.0,24.24644303810355,24.24644303810355,18.968,17.0,980.0,24.246443038103543,535.1,540.0,459.0,583.0,124.0,519.0,550.75,948.4
491.4783413335729,490.96,28.0,1373.0,22.566311173960177,22.566311173960177,18.0784,28.0,1373.0,22.56631117396018,490.96,490.0,456.0,561.0,105.0,475.25,506.0,903.9199999999998
503.5339909082604,503.32,18.0,722.0,14.67847403513049,14.67847403513049,11.958399999999996,18.0,722.0,14.678474035130492,503.32,501.0,474.0,546.0,72.0,492.25,512.75,597.9199999999998
568.1656096597188,567.52,14.0,999.0,27.07784334100484,27.07784334100484,21.1808,14.0,999.0,27.07784334100484,567.52,564.0,507.0,632.0,125.0,551.75,584.75,1059.04
478.49300935332377,478.2,24.0,861.0,16.74275962916508,16.74275962916508,13.688000000000002,24.0,861.0,16.74275962916508,478.2,478.0,443.0,509.0,66.0,467.0,494.0,684.4000000000001
524.3454228359199,524.204081632653,15.0,500.0,12.173875662515917,12.173875662515917,9.473552686380671,15.0,500.0,12.173875662515917,524.204081632653,524.0,499.0,550.0,51.0,515.0,530.0,464.204081632653
493.4886624837495,492.78,20.0,1347.0,26.437314538356578,26.437314538356578,20.8424,20.0,1347.0,26.437314538356578,492.78,489.0,439.0,564.0,125.0,476.25,507.5,1042.12
500.1774285191206,498.3,11.0,1309.0,43.29630469220208,43.29630469220208,34.604,11.0,1309.0,43.29630469220208,498.3,495.5,404.0,597.0,193.0,471.25,520.0,1730.1999999999998
492.6016522050064,491.57142857142856,16.0,861.0,31.84208484611111,31.84208484611111,23.825072886297377,16.0,861.0,31.84208484611111,491.57142857142856,493.0,416.0,561.0,145.0,483.0,514.0,1167.4285714285716
510.4833787695737,509.92,23.0,1313.0,23.976521849509364,23.976521849509364,19.2368,23.0,1313.0,23.976521849509364,509.92,509.0,463.0,564.0,101.0,493.5,526.75,961.84
603.5477942963589,603.14,28.0,1260.0,22.182885294749195,22.182885294749195,17.7624,28.0,1260.0,22.18288529474919,603.14,600.0,559.0,661.0,102.0,588.0,615.5,888.1199999999999
504.616012429253,504.12,18.0,1144.0,22.3684062910168,22.3684062910168,18.4448,18.0,1144.0,22.368406291016804,504.12,502.5,462.0,554.0,92.0,487.25,518.0,922.24
489.84387308610894,489.34,28.0,1375.0,22.21225787712721,22.21225787712721,17.806400000000004,28.0,1375.0,22.212257877127215,489.34,490.5,416.0,534.0,118.0,471.0,503.75,890.3200000000002
539.6505535992712,539.12,7.0,920.0,23.923745526150377,23.923745526150377,18.384,7.0,920.0,23.923745526150373,539.12,536.0,491.0,615.0,124.0,524.0,553.25,919.2
496.233150847462,496.06,24.0,776.0,13.10787549528908,13.10787549528908,10.8648,24.0,776.0,13.10787549528908,496.06,495.0,469.0,523.0,54.0,484.0,504.75,543.24
592.4721259266126,564.62,5.0,2477.0,179.52012589122148,179.52012589122148,144.6712,5.0,2477.0,179.52012589122148,564.62,627.0,1.0,783.0,782.0,455.25,689.5,7233.559999999999
512.8565686427346,512.62,18.0,724.0,15.57548073094375,15.57548073094375,12.4752,18.0,724.0,15.575480730943749,512.62,513.5,482.0,551.0,69.0,497.0,522.5,623.76
500.2454499583996,499.2244897959184,11.0,673.0,31.94399774741149,31.94399774741149,23.366930445647647,11.0,673.0,31.94399774741149,499.2244897959184,501.0,425.0,578.0,153.0,481.0,516.0,1144.9795918367347
487.0356455127284,482.48,8.0,1100.0,66.45878121061203,66.45878121061203,51.96,8.0,1100.0,66.45878121061205,482.48,482.0,369.0,639.0,270.0,432.0,512.75,2598.0
554.6942400998951,553.98,21.0,1123.0,28.14,28.14,23.0992,21.0,1123.0,28.14,553.98,551.0,505.0,616.0,111.0,534.75,576.75,1154.96
515.7649076856626,515.24,25.0,1262.0,23.26332736304074,23.26332736304074,19.588800000000003,25.0,1262.0,23.26332736304074,515.24,512.0,472.0,565.0,93.0,498.5,534.0,979.44
513.0853145433028,512.5,11.0,704.0,24.50081631293129,24.50081631293129,18.06,11.0,704.0,24.50081631293129,512.5,518.0,448.0,556.0,108.0,505.25,529.25,903.0
505.841872525397,505.6326530612245,26.0,815.0,14.547170111997335,14.547170111997335,11.506872136609742,26.0,815.0,14.547170111997335,505.6326530612245,507.0,466.0,549.0,83.0,494.0,513.0,563.8367346938774
520.466476289469,519.9019607843137,25.0,1369.0,24.234358126477865,24.234358126477865,20.652825836216845,25.0,1369.0,24.234358126477865,519.9019607843137,521.0,461.0,563.0,102.0,501.0,540.5,1053.294117647059
518.8388189023639,518.68,23.0,739.0,12.836572751322684,12.836572751322684,10.12,23.0,739.0,12.836572751322684,518.68,518.5,487.0,546.0,59.0,511.0,528.0,506.0
521.3287638333416,521.04,26.0,942.0,17.349305461602782,17.349305461602782,13.601599999999998,26.0,942.0,17.34930546160278,521.04,521.0,484.0,566.0,82.0,511.25,530.75,680.0799999999999
519.6442244459183,519.36,21.0,890.0,17.18459775496651,17.18459775496651,13.96,21.0,890.0,17.18459775496651,519.36,519.5,487.0,562.0,75.0,505.5,528.75,698.0
